time,cell_id,x,y,radius
1.3000,1,-21.034178,0.000000,5.0
1.3000,2,-15.306313,0.000000,5.0
1.3000,3,-10.078155,0.000000,5.0
1.3000,4,-5.016615,0.000000,5.0
1.3000,5,0.000000,0.000000,5.0
1.3000,6,5.016615,0.000000,5.0
1.3000,7,10.078155,0.000000,5.0
1.3000,8,15.306313,0.000000,5.0
1.3000,9,21.034178,0.000000,5.0
1.3000,10,28.065687,0.000000,5.0
1.4000,0,-28.239478,0.000000,5.0
1.4000,1,-21.136799,0.000000,5.0
1.4000,2,-15.352892,0.000000,5.0
1.4000,3,-10.095088,0.000000,5.0
1.4000,4,-5.021397,0.000000,5.0
1.4000,5,0.000000,0.000000,5.0
1.4000,6,5.021397,0.000000,5.0
1.4000,7,10.095088,0.000000,5.0
1.4000,8,15.352892,0.000000,5.0
1.4000,9,21.136799,0.000000,5.0
1.4000,10,28.239478,0.000000,5.0
1.5000,0,-28.408416,0.000000,5.0
1.5000,1,-21.239500,0.000000,5.0
1.5000,2,-15.401411,0.000000,5.0
1.5000,3,-10.113619,0.000000,5.0
1.5000,4,-5.026907,0.000000,5.0
1.5000,5,0.000000,0.000000,5.0
1.5000,6,5.026907,0.000000,5.0
1.5000,7,10.113619,0.000000,5.0
1.5000,8,15.401411,0.000000,5.0
1.5000,9,21.239500,0.000000,5.0
1.5000,10,28.408416,0.000000,5.0
1.6000,0,-28.572871,0.000000,5.0
1.6000,1,-21.342110,0.000000,5.0
1.6000,2,-15.451656,0.000000,5.0
1.6000,3,-10.133680,0.000000,5.0
1.6000,4,-5.033151,0.000000,5.0
1.6000,5,0.000000,0.000000,5.0
1.6000,6,5.033151,0.000000,5.0
1.6000,7,10.133680,0.000000,5.0
1.6000,8,15.451656,0.000000,5.0
1.6000,9,21.342110,0.000000,5.0
1.6000,10,28.572871,0.000000,5.0
1.7000,0,-28.733173,0.000000,5.0
1.7000,1,-21.444495,0.000000,5.0
1.7000,2,-15.503438,0.000000,5.0
1.7000,3,-10.155197,0.000000,5.0
1.7000,4,-5.040129,0.000000,5.0
1.7000,5,0.000000,0.000000,5.0
1.7000,6,5.040129,0.000000,5.0
1.7000,7,10.155197,0.000000,5.0
1.7000,8,15.503438,0.000000,5.0
1.7000,9,21.444495,0.000000,5.0
1.7000,10,28.733173,0.000000,5.0
1.8000,0,-28.889611,0.000000,5.0
1.8000,1,-21.546547,0.000000,5.0
1.8000,2,-15.556586,0.000000,5.0
1.8000,3,-10.178094,0.000000,5.0
1.8000,4,-5.047834,0.000000,5.0
1.8000,5,0.000000,0.000000,5.0
1.8000,6,5.047834,0.000000,5.0
1.8000,7,10.178094,0.000000,5.0
1.8000,8,15.556586,0.000000,5.0
1.8000,9,21.546547,0.000000,5.0
1.8000,10,28.889611,0.000000,5.0
1.9000,0,-29.042443,0.000000,5.0
1.9000,1,-21.648183,0.000000,5.0
1.9000,2,-15.610946,0.000000,5.0
1.9000,3,-10.202293,0.000000,5.0
1.9000,4,-5.056250,0.000000,5.0
1.9000,5,0.000000,0.000000,5.0
1.9000,6,5.056250,0.000000,5.0
1.9000,7,10.202293,0.000000,5.0
1.9000,8,15.610946,0.000000,5.0
1.9000,9,21.648183,0.000000,5.0
1.9000,10,29.042443,0.000000,5.0
2.0000,0,-29.191901,0.000000,5.0
2.0000,1,-21.749334,0.000000,5.0
2.0000,2,-15.666382,0.000000,5.0
2.0000,3,-10.227718,0.000000,5.0
2.0000,4,-5.065360,0.000000,5.0
2.0000,5,0.000000,0.000000,5.0
